source,source_url,captured_at,season,division,school,conference,former_coach,new_coach,hoopdirt_row_id
hoopdirt_coaching_changes,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-06-14T11:57:48+00:00,2026,D-I,LSU,SEC,Matt McMahon,Will Wade,4794
hoopdirt_coaching_changes,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-06-14T11:57:48+00:00,2026,D-I,Alabama State,SWAC,Tony Madlock,Chris Wright,4798
hoopdirt_coaching_changes,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-06-14T11:57:48+00:00,2026,D-I,Cal Baptist,WAC,Rick Croy,Kyle Getter,4800
hoopdirt_coaching_changes,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-06-14T11:57:48+00:00,2026,D-I,Northern Iowa,MVC,Ben Jacobson,Kyle Green,4802
hoopdirt_coaching_changes,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-06-14T11:57:48+00:00,2026,D-I,Akron,MAC,John Groce,Dustin Ford,4804
hoopdirt_coaching_changes,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-06-14T11:57:48+00:00,2026,D-I,Jackson State,SWAC,Mo Williams,Trey Johnson,4805
hoopdirt_coaching_changes,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-06-14T11:57:48+00:00,2026,D-I,Mississippi Valley State,SWAC,George Ivory,Mike Davis,4809
hoopdirt_coaching_changes,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-06-14T11:57:48+00:00,2026,D-I,Campbell,CAA,John Andrzejek,Jimmie WIlliams,4811
hoopdirt_coaching_changes,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-06-14T11:57:48+00:00,2026,D-I,West Florida,ASUN,Justin Mann,Tanner Smith,4817
hoopdirt_coaching_changes,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-06-14T11:57:48+00:00,2026,D-I,Texas Southern,SWAC,Johnny Jones,TBD,4830
hoopdirt_coaching_changes,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-06-14T11:57:48+00:00,2026,D-I,Wagner,NEC,Donald Copeland,Dwan McMillan,4845
